sex herdyear abattoir classifier herd age ageQuadrat yearsaison breedcomb prodsystem calfcull controlcull ageVK slaughterCategory branding cccn ccco ccan ccas ccao ccvn ccvo cwcn cwco cwan cwas cwao cwvn cwvo cfcn cfco cfan cfas cfao cfvn cfvo cacn caco caan caas caao cavn cavo Effekt_HeterosisSumHet Effekt_RekombinationSumRec
1 1 1 1 1 161 25921 1 1 1 0 0 0 KV conventional 0 3 0 0 0 0 0 0 1.16 0 0 0 0 0 0 3 0 0 0 0 0 0 1.61 0 0 0 0 0 2 2
1 1 2 2 1 144 20736 2 1 1 0 0 0 KV conventional 0 3 0 0 0 0 0 0 1.14 0 0 0 0 0 0 3 0 0 0 0 0 0 1.44 0 0 0 0 0 2 2
1 1 1 3 1 163 26569 2 1 1 0 0 0 KV conventional 0 1 0 0 0 0 0 0 0.99 0 0 0 0 0 0 2 0 0 0 0 0 0 1.63 0 0 0 0 0 2 2
2 1 3 4 2 325 105625 1 2 2 0 0 0 OB 2 0 0 7 0 0 0 0 0 0 2.27 0 0 0 0 0 0 3 0 0 0 0 0 0 3.25 0 0 0 0 4 4
3 1 3 5 2 334 111556 1 2 2 0 0 0 RG 2 0 0 7 0 0 0 0 0 0 2.44 0 0 0 0 0 0 4 0 0 0 0 0 0 3.34 0 0 0 0 4 4
3 1 3 4 2 305 93025 1 3 2 0 0 0 RG 2 0 0 6 0 0 0 0 0 0 2.34 0 0 0 0 0 0 3 0 0 0 0 0 0 3.05 0 0 0 0 6 4
3 1 3 6 2 348 121104 2 4 1 0 0 0 RG conventional 0 0 0 0 5 0 0 0 0 0 0 2.36 0 0 0 0 0 0 4 0 0 0 0 0 0 3.48 0 0 6 2
2 1 3 5 2 319 101761 1 2 2 0 0 0 OB 2 0 0 7 0 0 0 0 0 0 2.44 0 0 0 0 0 0 2 0 0 0 0 0 0 3.19 0 0 0 0 6 4
2 1 3 5 2 295 87025 1 5 2 0 0 0 OB 2 0 0 7 0 0 0 0 0 0 2.51 0 0 0 0 0 0 3 0 0 0 0 0 0 2.95 0 0 0 0 6 2
2 1 3 6 2 310 96100 2 3 1 0 0 0 OB conventional 0 0 0 0 6 0 0 0 0 0 0 2.44 0 0 0 0 0 0 3 0 0 0 0 0 0 3.10 0 0 6 3
3 1 3 5 2 339 114921 2 6 2 0 0 0 RG 2 0 0 7 0 0 0 0 0 0 2.34 0 0 0 0 0 0 4 0 0 0 0 0 0 3.39 0 0 0 0 6 2
2 1 3 4 2 321 103041 3 6 2 0 0 0 OB 2 0 0 6 0 0 0 0 0 0 2.55 0 0 0 0 0 0 4 0 0 0 0 0 0 3.21 0 0 0 0 6 2
3 1 3 5 2 145 21025 1 5 3 0 0 0 KV 1 7 0 0 0 0 0 0 1.33 0 0 0 0 0 0 2 0 0 0 0 0 0 1.45 0 0 0 0 0 0 6 2
2 1 3 4 2 304 92416 3 5 2 0 0 0 OB 2 0 0 6 0 0 0 0 0 0 2.33 0 0 0 0 0 0 3 0 0 0 0 0 0 3.04 0 0 0 0 6 2
